Yil,PM10,SO2,CO,NO2,NOX,NO,HavaSicakligi,BagilNem,KabinSicakligi,KabinNem,PM25,IstasyonTipi,Gece/Gunduz,Haftasonu/Haftaici,Ay,Mevsim
2020,29.91,7.14,697.25,73.22,98.64,25.42,12.14,58.03,20.51,29.81,3.34,Kentsel,Gunduz,Haftaici,1,Kis
2020,10.34,5.97,609.9,52.13,70.74,18.61,11.28,56.37,20.56,29.89,2.37,Kentsel,Gece,Haftaici,1,Kis
2020,10.96,5.06,601.16,56.41,70.78,14.37,11.63,74.29,20.58,29.92,12.39,Kentsel,Gunduz,Haftaici,1,Kis
2020,42.56,10.61,546.99,55.16,73.78,18.62,2.21,79.22,20.54,29.86,22.31,Kentsel,Gece,Haftaici,1,Kis
2020,53.64,25.19,771.91,71.26,130.06,58.8,3.8,72.88,20.52,29.82,29.03,Kentsel,Gunduz,Haftasonu,1,Kis
2020,18.43,39.07,491.38,56.34,83.83,27.49,1.0,84.92,20.56,29.9,13.89,Kentsel,Gece,Haftasonu,1,Kis
2020,24.82,28.14,601.58,49.08,69.23,20.15,2.2,79.51,20.54,29.85,17.95,Kentsel,Gunduz,Haftasonu,1,Kis
2020,27.14,9.13,933.02,71.23,148.13,76.9,-0.09,91.9,20.57,29.91,19.0,Kentsel,Gece,Haftasonu,1,Kis
2020,15.74,4.26,608.22,51.77,73.53,21.75,3.77,74.08,20.5,29.79,7.6,Kentsel,Gunduz,Haftaici,1,Kis
2020,4.25,3.96,507.85,46.16,62.97,16.8,1.64,82.8,20.56,29.89,2.05,Kentsel,Gece,Haftaici,1,Kis
2020,17.47,4.4,762.2,48.21,65.12,16.91,3.91,72.0,20.5,29.79,3.95,Kentsel,Gunduz,Haftaici,1,Kis
2020,6.26,4.75,469.22,28.82,35.49,6.67,2.53,77.53,20.53,29.84,1.95,Kentsel,Gece,Haftaici,1,Kis
2020,19.34,17.01,584.37,47.38,62.45,15.07,3.6,91.0,20.48,29.76,6.06,Kentsel,Gunduz,Haftaici,1,Kis
2020,27.67,75.79,475.34,32.09,42.95,10.87,4.69,95.97,20.48,29.75,8.74,Kentsel,Gece,Haftaici,1,Kis
2019,30.11,11.72,656.51,60.35,87.94,27.59,6.65,88.93,20.45,29.71,9.44,Kentsel,Gunduz,Haftaici,12,Kis
2019,11.73,4.01,503.94,40.15,54.06,13.91,5.68,92.5,20.49,29.77,2.05,Kentsel,Gece,Haftaici,12,Kis
2019,6.9,4.01,621.23,46.41,60.94,14.53,4.8,92.13,20.5,29.79,2.33,Kentsel,Gunduz,Haftaici,12,Kis
2019,14.06,4.81,446.82,28.37,34.8,6.43,3.44,86.91,20.52,29.82,8.98,Kentsel,Gece,Haftaici,12,Kis
